產業類別,公司代號,公司名稱,非擔任主管職務之全時員工資訊-員工薪資總額(仟元),非擔任主管職務之全時員工資訊-員工人數-年度平均(人),非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-平均數(仟元/人)-108年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-109年,非擔任主管職務之全時員工資訊-員工薪資-中位數(仟元/人)-108年,非擔任主管職務之全時員工資訊-每股盈餘(元/股),同業公司資訊-員工薪資-平均數(仟元/人),同業公司資訊-平均每股盈餘(元/股),薪資統計情形-非經理人之全時員工薪資平均數未達50萬元,薪資統計情形-公司EPS獲利表現較同業為佳，惟非經理人之全時員工薪資平均數低於同業水準,薪資統計情形-公司EPS較前一年度成長，惟非經理人之全時員工薪資平均數較前一年度減少),薪資統計情形-公司經營績效與員工薪酬之關聯性及合理性說明
水泥工業,1101,台泥,1169106,1068,"1,095","1,017",946,876,4.32,902,3.82,,,,
水泥工業,1102,亞泥,512626,459,"1,117","1,257","1,006","1,110",4.7,902,3.82,,,,
水泥工業,1103,嘉泥,95466,75,"1,273","1,312","1,061","1,132",2.74,902,3.82,,,V,本公司109年度EPS雖較108年度成長，但109年度整體經濟環境受COVID-19疫情影響，且公司因應轉型，109年度員工人數成長約10%，故薪資平均數與中位數皆略有下修。
水泥工業,1104,環泥,303999,401,758,785,675,722,1.91,902,3.82,,,V,本公司非擔任主管職務之全時員工，大部分老員工已相繼退休，目前員工為年資較淺之新員工及給薪未滿12個月的新員工，因此造成薪資平均數較低。本公司秉持共創價值、利潤分享之理念，持續優化同仁薪酬水準。
水泥工業,1108,幸福,212212,407,521,505,474,469,0.97,902,3.82,,,,
水泥工業,1109,信大,227469,346,657,625,612,573,2.94,902,3.82,,,,
水泥工業,1110,東泥,60949,106,575,556,558,534,0.04,902,3.82,,,,
食品工業,1201,味全,984224,1403,702,690,654,646,1.06,813,3.09,,,,
食品工業,1203,味王,406774,710,573,558,544,525,1.81,813,3.09,,,,
食品工業,1210,大成,1598553,2282,701,690,591,564,3.99,813,3.09,,V,,"本公司營業項目與其它食品業有所差異，以飼料為大宗佔55%，食品相對略低佔19%，人力結構中外籍移工將近三成。 
依照公司營運目標的進展與獲利發放各項獎金、年終獎金，員工酬勞依年度可分配盈餘不低於2%提撥發放。"
